name, ra, dec, nexp, exptime, filter, horizon, moond, moonw, priority, count, period, comment
V20_IC410_NGC1893          ,   05:22:42   , +33:25:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  9, VYSOS
V20_25Ori                  ,   05:24:55   , +01:48:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  3, VYSOS
V20_V582Aur                ,   05:25:52   , +34:52:30, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_Stock8                 ,   05:28:10   , +34:27:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  6, VYSOS
V20_NGC1931                ,   05:31:25   , +34:15:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  6, VYSOS
V20_ONC1                   , 05:33:18.1   , -05:52:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC3                   , 05:33:18.1   , -04:53:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC2                   , 05:33:18.1   , -05:23:23, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_OS98-27comglob         ,   05:33:25   , -00:38:15, 3, 100, PSr, 30, 30, 6 , 6, 1,  6, VYSOS
V20_ONC4                   , 05:35:16.5   , -05:52:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC5                   , 05:35:16.5   , -05:23:23, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC6                   , 05:35:16.5   , -04:53:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1641A                 ,   05:35:40   , -06:22:23, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC1960                ,   05:36:18   , +34:08:30, 3, 100, PSr, 30, 30, 6 , 4, 1,  3, VYSOS
V20_L1641B                 ,   05:36:25   , -06:51:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_LambdaOriCenter        ,   05:36:30   , +09:44:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  7, VYSOS
V20_OS98-35comglob         ,   05:36:31   , -00:18:45, 3, 100, PSr, 30, 30, 6 , 3, 1,  8, VYSOS
V20_ONC8                   , 05:37:14.9   , -05:23:23, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC7                   , 05:37:14.9   , -05:52:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_ONC9                   , 05:37:14.9   , -04:53:53, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_OS98-41comglob         ,   05:38:26   , -05:14:08, 3, 100, PSr, 30, 30, 6 , 8, 1,  7, VYSOS
V20_SigmaOri               ,   05:38:45   , -02:36:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  3, VYSOS
V20_L1641C                 ,   05:40:00   , -07:21:23, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_L1641D                 ,   05:40:50   , -07:50:53, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_NGC2023_Horsehead      ,   05:41:24   , -02:22:36, 3, 100, PSr, 30, 30, 6 , 1, 1, 12, VYSOS
V20_L1641E                 ,   05:41:41   , -08:18:00, 3, 100, PSr, 30, 30, 6 , 5, 1,  1, VYSOS
V20_NGC2024                ,   05:41:44   , -01:55:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  9, VYSOS
V20_FUOri                  ,   05:44:45   , +09:11:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1630S                 ,   05:46:35   , -00:03:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  1, VYSOS
